"Commander","Kind","Index","UnitId","NameZh","SourceFile","SourceLine"
"Abathur","兵种","1","GuardianMP","GuardianMP","LibE0EAE146_CommanderRosters.galaxy","33"
"Abathur","兵种","2","DevourerMP","DevourerMP","LibE0EAE146_CommanderRosters.galaxy","34"
"Abathur","兵种","3","Mutalisk","异龙","LibE0EAE146_CommanderRosters.galaxy","35"
"Abathur","兵种","4","Roach","蟑螂","LibE0EAE146_CommanderRosters.galaxy","36"
"Abathur","兵种","5","SwarmHost","虫群宿主","LibE0EAE146_CommanderRosters.galaxy","37"
"Abathur","兵种","6","SwarmQueen","虫群女王","LibE0EAE146_CommanderRosters.galaxy","38"
"Abathur","兵种","7","RoachCorpser","腐化蟑螂","LibE0EAE146_CommanderRosters.galaxy","39"
"Abathur","兵种","8","RoachVile","RoachVile","LibE0EAE146_CommanderRosters.galaxy","40"
"Abathur","兵种","9","RavagerAbathur","破坏者","LibE0EAE146_CommanderRosters.galaxy","41"
"Abathur","兵种","10","Viper","飞蛇","LibE0EAE146_CommanderRosters.galaxy","42"
"Abathur","兵种","11","Brutalisk","莽兽","LibE0EAE146_CommanderRosters.galaxy","43"
"Abathur","兵种","12","Leviathan","利维坦","LibE0EAE146_CommanderRosters.galaxy","44"
"Abathur","建筑","1","SpineCrawler","脊针爬虫","LibE0EAE146_CommanderBuildings.galaxy","35"
"Abathur","建筑","2","SporeCrawler","孢子爬虫","LibE0EAE146_CommanderBuildings.galaxy","36"
"Alarak","兵种","1","ColossusTaldarim","毁灭者","LibE0EAE146_CommanderRosters.galaxy","54"
"Alarak","兵种","2","HighTemplarTaldarim","晋升者","LibE0EAE146_CommanderRosters.galaxy","55"
"Alarak","兵种","3","ImmortalTaldarim","先锋","LibE0EAE146_CommanderRosters.galaxy","56"
"Alarak","兵种","4","Monitor","监视者","LibE0EAE146_CommanderRosters.galaxy","57"
"Alarak","兵种","5","Supplicant","Supplicant","LibE0EAE146_CommanderRosters.galaxy","58"
"Alarak","兵种","6","WarpPrismTaldarim","WarpPrismTaldarim","LibE0EAE146_CommanderRosters.galaxy","59"
"Alarak","兵种","7","Stalker","Stalker","LibE0EAE146_CommanderRosters.galaxy","60"
"Alarak","建筑","1","Gateway","Gateway","LibE0EAE146_CommanderBuildings.galaxy","46"
"Alarak","建筑","2","PhotonCannon","光子炮台","LibE0EAE146_CommanderBuildings.galaxy","47"
"Alarak","建筑","3","TwilightCouncil","TwilightCouncil","LibE0EAE146_CommanderBuildings.galaxy","48"
"Artanis","兵种","1","Archon","执政官","LibE0EAE146_CommanderRosters.galaxy","70"
"Artanis","兵种","2","ImmortalAiur","不朽者","LibE0EAE146_CommanderRosters.galaxy","71"
"Artanis","兵种","3","Observer","侦测器","LibE0EAE146_CommanderRosters.galaxy","72"
"Artanis","兵种","4","PhoenixAiur","凤凰","LibE0EAE146_CommanderRosters.galaxy","73"
"Artanis","兵种","5","Dragoon","龙骑士","LibE0EAE146_CommanderRosters.galaxy","74"
"Artanis","兵种","6","Zealot","哨兵","LibE0EAE146_CommanderRosters.galaxy","75"
"Artanis","兵种","7","HighTemplar","高阶圣堂武士","LibE0EAE146_CommanderRosters.galaxy","76"
"Artanis","建筑","1","Gateway","Gateway","LibE0EAE146_CommanderBuildings.galaxy","58"
"Artanis","建筑","2","PhotonCannon","光子炮台","LibE0EAE146_CommanderBuildings.galaxy","59"
"Artanis","建筑","3","RoboticsBay","RoboticsBay","LibE0EAE146_CommanderBuildings.galaxy","60"
"Artanis","建筑","4","RoboticsFacilityWarp","机械台","LibE0EAE146_CommanderBuildings.galaxy","61"
"Artanis","建筑","5","TwilightCouncil","TwilightCouncil","LibE0EAE146_CommanderBuildings.galaxy","62"
"Dehaka","兵种","1","DehakaCoop","德哈卡","LibE0EAE146_CommanderRosters.galaxy","86"
"Dehaka","兵种","2","DehakaGlevig","格里维格","LibE0EAE146_CommanderRosters.galaxy","87"
"Dehaka","兵种","3","DehakaMurvar","穆尔瓦","LibE0EAE146_CommanderRosters.galaxy","88"
"Dehaka","兵种","4","DehakaDakrun","达克伦","LibE0EAE146_CommanderRosters.galaxy","89"
"Dehaka","兵种","5","DehakaDrone","原始工蜂","LibE0EAE146_CommanderRosters.galaxy","90"
"Dehaka","兵种","6","DehakaCreeper","掘地虫","LibE0EAE146_CommanderRosters.galaxy","91"
"Dehaka","兵种","7","DehakaCreeperFlying","爆裂掘地虫","LibE0EAE146_CommanderRosters.galaxy","92"
"Dehaka","兵种","8","DehakaHydraliskLevel2","原始刺蛇","LibE0EAE146_CommanderRosters.galaxy","93"
"Dehaka","兵种","9","DehakaMutaliskLevel3","原始异龙","LibE0EAE146_CommanderRosters.galaxy","94"
"Dehaka","兵种","10","DehakaPrimalSwarmHost","掘地虫宿主","LibE0EAE146_CommanderRosters.galaxy","95"
"Dehaka","兵种","11","DehakaRavasaur","掠食龙","LibE0EAE146_CommanderRosters.galaxy","96"
"Dehaka","兵种","12","DehakaRoachLevel2","原始蟑螂","LibE0EAE146_CommanderRosters.galaxy","97"
"Dehaka","兵种","13","DehakaRoachLevel3","原始点火虫","LibE0EAE146_CommanderRosters.galaxy","98"
"Dehaka","兵种","14","DehakaSwarmHost","原始宿主","LibE0EAE146_CommanderRosters.galaxy","99"
"Dehaka","兵种","15","DehakaUltraliskLevel2","原始雷兽","LibE0EAE146_CommanderRosters.galaxy","100"
"Dehaka","兵种","16","DehakaUltraliskLevel3","暴龙兽","LibE0EAE146_CommanderRosters.galaxy","101"
"Dehaka","兵种","17","DehakaZerglingLevel2","原始跳虫","LibE0EAE146_CommanderRosters.galaxy","102"
"Dehaka","兵种","18","ImpalerDehaka","穿刺者","LibE0EAE146_CommanderRosters.galaxy","103"
"Dehaka","建筑","1","DehakaHatchery","原始主巢","LibE0EAE146_CommanderBuildings.galaxy","72"
"Dehaka","建筑","2","DehakaAirTownHall","原始空巢","LibE0EAE146_CommanderBuildings.galaxy","73"
"Dehaka","建筑","3","DehakaBarracks","原始战争之巢","LibE0EAE146_CommanderBuildings.galaxy","74"
"Dehaka","建筑","4","DehakaGlevigStructure","格里维格的巢穴","LibE0EAE146_CommanderBuildings.galaxy","75"
"Dehaka","建筑","5","DehakaMurvarStructure","穆尔瓦的巢穴","LibE0EAE146_CommanderBuildings.galaxy","76"
"Dehaka","建筑","6","DehakaDakrunStructure","达克伦的巢穴","LibE0EAE146_CommanderBuildings.galaxy","77"
"Dehaka","建筑","7","DehakaNydusDestroyer","原始蠕虫","LibE0EAE146_CommanderBuildings.galaxy","78"
"Fenix","兵种","1","Adept","使徒","LibE0EAE146_CommanderRosters.galaxy","113"
"Fenix","兵种","2","ColossusPurifier","巨像","LibE0EAE146_CommanderRosters.galaxy","114"
"Fenix","兵种","3","Observer","侦测器","LibE0EAE146_CommanderRosters.galaxy","115"
"Fenix","兵种","4","Scout","侦察机","LibE0EAE146_CommanderRosters.galaxy","116"
"Fenix","兵种","5","SentryFenix","保护者","LibE0EAE146_CommanderRosters.galaxy","117"
"Fenix","兵种","6","ZealotPurifier","军团士兵","LibE0EAE146_CommanderRosters.galaxy","118"
"Fenix","兵种","7","Immortal","不朽者","LibE0EAE146_CommanderRosters.galaxy","119"
"Fenix","兵种","8","Carrier","航母","LibE0EAE146_CommanderRosters.galaxy","120"
"Fenix","建筑","1","Gateway","Gateway","LibE0EAE146_CommanderBuildings.galaxy","88"
"Fenix","建筑","2","PhotonCannon","光子炮台","LibE0EAE146_CommanderBuildings.galaxy","89"
"Fenix","建筑","3","RoboticsBay","RoboticsBay","LibE0EAE146_CommanderBuildings.galaxy","90"
"Fenix","建筑","4","TwilightCouncil","TwilightCouncil","LibE0EAE146_CommanderBuildings.galaxy","91"
"Horner","兵种","1","HHBattlecruiser","HHBattlecruiser","LibE0EAE146_CommanderRosters.galaxy","130"
"Horner","兵种","2","HHHellion","HHHellion","LibE0EAE146_CommanderRosters.galaxy","131"
"Horner","兵种","3","HHHellionTank","HHHellionTank","LibE0EAE146_CommanderRosters.galaxy","132"
"Horner","兵种","4","HHRaven","HHRaven","LibE0EAE146_CommanderRosters.galaxy","133"
"Horner","兵种","5","HHReaper","HHReaper","LibE0EAE146_CommanderRosters.galaxy","134"
"Horner","兵种","6","HHVikingFighter","HHVikingFighter","LibE0EAE146_CommanderRosters.galaxy","135"
"Horner","兵种","7","HHWidowMine","HHWidowMine","LibE0EAE146_CommanderRosters.galaxy","136"
"Horner","兵种","8","HHWraith","HHWraith","LibE0EAE146_CommanderRosters.galaxy","137"
"Horner","兵种","9","Predator","掠袭者","LibE0EAE146_CommanderRosters.galaxy","138"
"Horner","兵种","10","Liberator","Liberator","LibE0EAE146_CommanderRosters.galaxy","139"
"Karax","兵种","1","ImmortalAiur","不朽者","LibE0EAE146_CommanderRosters.galaxy","149"
"Karax","兵种","2","Observer","侦测器","LibE0EAE146_CommanderRosters.galaxy","150"
"Karax","兵种","3","PhoenixPurifier","侦察机","LibE0EAE146_CommanderRosters.galaxy","151"
"Karax","兵种","4","Scout","侦察机","LibE0EAE146_CommanderRosters.galaxy","152"
"Karax","兵种","5","SentryPurifier","激励者","LibE0EAE146_CommanderRosters.galaxy","153"
"Karax","兵种","6","ZealotPurifier","军团士兵","LibE0EAE146_CommanderRosters.galaxy","154"
"Karax","兵种","7","Colossus","巨像","LibE0EAE146_CommanderRosters.galaxy","155"
"Karax","兵种","8","Carrier","航母","LibE0EAE146_CommanderRosters.galaxy","156"
"Karax","建筑","1","Gateway","Gateway","LibE0EAE146_CommanderBuildings.galaxy","111"
"Karax","建筑","2","PhotonCannon","光子炮台","LibE0EAE146_CommanderBuildings.galaxy","112"
"Karax","建筑","3","ShieldBattery","护盾充能器","LibE0EAE146_CommanderBuildings.galaxy","113"
"Karax","建筑","4","SolarForge","太阳锻炉","LibE0EAE146_CommanderBuildings.galaxy","114"
"Karax","建筑","5","TwilightCouncil","TwilightCouncil","LibE0EAE146_CommanderBuildings.galaxy","115"
"Kerrigan","兵种","1","K5Kerrigan","凯瑞甘","LibE0EAE146_CommanderRosters.galaxy","166"
"Kerrigan","兵种","2","BroodLord","巢虫领主","LibE0EAE146_CommanderRosters.galaxy","167"
"Kerrigan","兵种","3","Hydralisk","刺蛇","LibE0EAE146_CommanderRosters.galaxy","168"
"Kerrigan","兵种","4","MutaliskBroodlord","巢虫领主异龙","LibE0EAE146_CommanderRosters.galaxy","169"
"Kerrigan","兵种","5","SwarmQueen","虫群女王","LibE0EAE146_CommanderRosters.galaxy","170"
"Kerrigan","兵种","6","Ultralisk","雷兽","LibE0EAE146_CommanderRosters.galaxy","171"
"Kerrigan","兵种","7","Zergling","跳虫","LibE0EAE146_CommanderRosters.galaxy","172"
"Kerrigan","建筑","1","NydusNetwork","虫道网络","LibE0EAE146_CommanderBuildings.galaxy","125"
"Kerrigan","建筑","2","SpineCrawler","脊针爬虫","LibE0EAE146_CommanderBuildings.galaxy","126"
"Kerrigan","建筑","3","SporeCrawler","孢子爬虫","LibE0EAE146_CommanderBuildings.galaxy","127"
"Mengsk","兵种","1","SCVMengsk","帝国劳工","LibE0EAE146_CommanderRosters.galaxy","182"
"Mengsk","兵种","2","TrooperMengsk","帝国冲锋队","LibE0EAE146_CommanderRosters.galaxy","183"
"Mengsk","兵种","3","TrooperMengskAA","帝国 火箭筒 冲锋队","LibE0EAE146_CommanderRosters.galaxy","184"
"Mengsk","兵种","4","TrooperMengskFlamethrower","帝国 火焰器 冲锋队","LibE0EAE146_CommanderRosters.galaxy","185"
"Mengsk","兵种","5","TrooperMengskImproved","帝国 突击手 冲锋队","LibE0EAE146_CommanderRosters.galaxy","186"
"Mengsk","兵种","6","MarauderMengsk","壁垒卫士","LibE0EAE146_CommanderRosters.galaxy","187"
"Mengsk","兵种","7","GhostMengsk","元首鬼影","LibE0EAE146_CommanderRosters.galaxy","188"
"Mengsk","兵种","8","MedivacMengsk","帝国仲裁机","LibE0EAE146_CommanderRosters.galaxy","189"
"Mengsk","兵种","9","SiegeTankMengsk","冲击分队","LibE0EAE146_CommanderRosters.galaxy","190"
"Mengsk","兵种","10","SiegeTankMengskSieged","攻城坦克","LibE0EAE146_CommanderRosters.galaxy","191"
"Mengsk","兵种","11","ThorMengsk","黑色战锤","LibE0EAE146_CommanderRosters.galaxy","192"
"Mengsk","兵种","12","VikingMengskFighter","天空之怒","LibE0EAE146_CommanderRosters.galaxy","193"
"Mengsk","兵种","13","VikingMengskAssault","维京战机","LibE0EAE146_CommanderRosters.galaxy","194"
"Mengsk","兵种","14","BattlecruiserMengsk","奥古斯特格勒的骄傲","LibE0EAE146_CommanderRosters.galaxy","195"
"Mengsk","兵种","15","RavenMengsk","帝国见证者","LibE0EAE146_CommanderRosters.galaxy","196"
"Mengsk","兵种","16","RavenMengskSieged","铁鸦","LibE0EAE146_CommanderRosters.galaxy","197"
"Mengsk","建筑","1","CommandCenterMengsk","征兵中心","LibE0EAE146_CommanderBuildings.galaxy","137"
"Mengsk","建筑","2","BunkerDepotMengsk","补给地堡","LibE0EAE146_CommanderBuildings.galaxy","138"
"Mengsk","建筑","3","MissileTurretMengsk","导弹塔","LibE0EAE146_CommanderBuildings.galaxy","139"
"Mengsk","建筑","4","BarracksMengsk","兵营","LibE0EAE146_CommanderBuildings.galaxy","140"
"Mengsk","建筑","5","FactoryMengsk","重工厂","LibE0EAE146_CommanderBuildings.galaxy","141"
"Mengsk","建筑","6","StarportMengsk","星港","LibE0EAE146_CommanderBuildings.galaxy","142"
"Mengsk","建筑","7","EngineeringBayMengsk","工程站","LibE0EAE146_CommanderBuildings.galaxy","143"
"Mengsk","建筑","8","ArmoryMengsk","军械库","LibE0EAE146_CommanderBuildings.galaxy","144"
"Mengsk","建筑","9","FusionCoreMengsk","聚变芯体","LibE0EAE146_CommanderBuildings.galaxy","145"
"Mengsk","建筑","10","GhostAcademyMengsk","皇家军校","LibE0EAE146_CommanderBuildings.galaxy","146"
"Mengsk","建筑","11","ArtilleryMengsk","大地碎裂炮","LibE0EAE146_CommanderBuildings.galaxy","147"
"Nova","兵种","1","Banshee_BlackOps","隐秘女妖","LibE0EAE146_CommanderRosters.galaxy","207"
"Nova","兵种","2","GhostNova","GhostNova","LibE0EAE146_CommanderRosters.galaxy","208"
"Nova","兵种","3","Goliath_BlackOps","强击歌利亚","LibE0EAE146_CommanderRosters.galaxy","209"
"Nova","兵种","4","HellbatBlackOps","恶蝠游骑兵","LibE0EAE146_CommanderRosters.galaxy","210"
"Nova","兵种","5","Liberator_BlackOps","掠袭解放者","LibE0EAE146_CommanderRosters.galaxy","211"
"Nova","兵种","6","Marauder_BlackOps","劫掠者突击手","LibE0EAE146_CommanderRosters.galaxy","212"
"Nova","兵种","7","Marine_BlackOps","精英陆战队员","LibE0EAE146_CommanderRosters.galaxy","213"
"Nova","兵种","8","Raven_BlackOps","铁鸦II型","LibE0EAE146_CommanderRosters.galaxy","214"
"Nova","兵种","9","MercReaper","佣兵收割者","LibE0EAE146_CommanderRosters.galaxy","215"
"Nova","兵种","10","SiegeTank_BlackOps","重型攻城坦克","LibE0EAE146_CommanderRosters.galaxy","216"
"Nova","兵种","11","SCV","SCV","LibE0EAE146_CommanderRosters.galaxy","217"
"Nova","建筑","1","Barracks","Barracks","LibE0EAE146_CommanderBuildings.galaxy","157"
